"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"Mon Sep 02 2024 00:00:00 GMT+0530 (India Standard Time)","1749.75","1749.75","1666.10","1702.40","-1.87","-2.52","87,333"
"Mon Sep 09 2024 00:00:00 GMT+0530 (India Standard Time)","1703.00","1756.20","1688.45","1752.35","2.93","2.29","60,376"
"Mon Sep 16 2024 00:00:00 GMT+0530 (India Standard Time)","1773.95","1773.95","1610.60","1625.40","-7.24","-7.89","100,709"
"Mon Sep 23 2024 00:00:00 GMT+0530 (India Standard Time)","1706.00","1763.90","1663.00","1685.05","3.67","3.02","145,795"
"Mon Sep 30 2024 00:00:00 GMT+0530 (India Standard Time)","1701.85","1701.85","1625.10","1663.85","-1.26","-1.90","49,210"
"Mon Oct 07 2024 00:00:00 GMT+0530 (India Standard Time)","1658.05","1805.00","1653.50","1793.15","7.77","7.12","91,492"
"Mon Oct 14 2024 00:00:00 GMT+0530 (India Standard Time)","1803.15","1830.05","1718.00","1739.20","-3.01","-3.65","54,202"
"Mon Oct 21 2024 00:00:00 GMT+0530 (India Standard Time)","1737.00","1755.15","1650.15","1663.75","-4.34","-4.98","39,548"
"Mon Oct 28 2024 00:00:00 GMT+0530 (India Standard Time)","1660.05","1724.60","1628.55","1690.95","1.63","0.99","29,308"
"Mon Nov 04 2024 00:00:00 GMT+0530 (India Standard Time)","1687.05","1776.00","1645.05","1665.50","-1.51","-2.15","96,602"
"Mon Nov 11 2024 00:00:00 GMT+0530 (India Standard Time)","1665.00","1682.65","1522.20","1531.70","-8.03","-8.68","88,502"
"Mon Nov 18 2024 00:00:00 GMT+0530 (India Standard Time)","1561.65","1581.00","1451.80","1480.05","-3.37","-4.02","66,925"
"Mon Nov 25 2024 00:00:00 GMT+0530 (India Standard Time)","1490.65","1533.00","1480.50","1528.00","3.24","2.59","47,836"
"Mon Dec 02 2024 00:00:00 GMT+0530 (India Standard Time)","1520.75","1568.10","1513.40","1528.25","0.02","-0.63","52,593"
"Mon Dec 09 2024 00:00:00 GMT+0530 (India Standard Time)","1523.45","1576.75","1447.00","1517.20","-0.72","-1.37","417,887"
"Mon Dec 16 2024 00:00:00 GMT+0530 (India Standard Time)","1510.80","1562.00","1485.30","1542.35","1.66","1.01","52,789"
"Mon Dec 23 2024 00:00:00 GMT+0530 (India Standard Time)","1552.25","1604.90","1511.15","1585.40","2.79","2.15","64,675"
"Mon Dec 30 2024 00:00:00 GMT+0530 (India Standard Time)","1586.10","1647.35","1576.90","1636.05","3.19","2.55","66,074"
"Mon Jan 06 2025 00:00:00 GMT+0530 (India Standard Time)","1636.05","1658.20","1537.65","1540.70","-5.83","-6.47","23,318"
"Mon Jan 13 2025 00:00:00 GMT+0530 (India Standard Time)","1538.80","1545.00","1440.05","1468.40","-4.69","-5.34","86,284"
"Mon Jan 20 2025 00:00:00 GMT+0530 (India Standard Time)","1455.65","1537.90","1443.35","1447.15","-1.45","-2.09","46,040"
"Mon Jan 27 2025 00:00:00 GMT+0530 (India Standard Time)","1444.70","1477.60","1368.00","1436.30","-0.75","-1.40","59,581"
"Mon Feb 03 2025 00:00:00 GMT+0530 (India Standard Time)","1435.25","1552.95","1394.00","1540.20","7.23","6.59","756,438"
"Mon Feb 10 2025 00:00:00 GMT+0530 (India Standard Time)","1539.85","1550.00","1310.15","1321.35","-14.21","-14.86","72,890"
"Mon Feb 17 2025 00:00:00 GMT+0530 (India Standard Time)","1321.35","1399.15","1280.00","1300.25","-1.60","-2.24","128,752"
"Mon Feb 24 2025 00:00:00 GMT+0530 (India Standard Time)","1307.15","1352.70","1274.70","1278.75","-1.65","-2.30","48,873"
"Mon Mar 03 2025 00:00:00 GMT+0530 (India Standard Time)","1275.10","1415.85","1275.10","1406.55","9.99","9.35","42,279"
"Mon Mar 10 2025 00:00:00 GMT+0530 (India Standard Time)","1498.80","1498.80","1370.00","1404.25","-0.16","-0.81","40,430"
"Mon Mar 17 2025 00:00:00 GMT+0530 (India Standard Time)","1402.00","1517.95","1399.55","1511.45","7.63","6.99","43,827"
"Mon Mar 24 2025 00:00:00 GMT+0530 (India Standard Time)","1514.50","1546.65","1450.85","1540.05","1.89","1.25","64,130"
"Mon Mar 31 2025 00:00:00 GMT+0530 (India Standard Time)","1540.05","1585.60","1469.45","1499.15","-2.66","-3.30","64,207"
"Mon Apr 07 2025 00:00:00 GMT+0530 (India Standard Time)","1350.05","1498.95","1340.30","1377.55","-8.11","-8.76","54,552"
"Mon Apr 14 2025 00:00:00 GMT+0530 (India Standard Time)","1393.95","1394.55","1336.95","1341.65","-2.61","-3.25","587,610"
"Mon Apr 21 2025 00:00:00 GMT+0530 (India Standard Time)","1350.00","1438.30","1339.00","1358.90","1.29","0.64","193,400"
"Mon Apr 28 2025 00:00:00 GMT+0530 (India Standard Time)","1363.30","1417.85","1352.55","1375.65","1.23","0.59","30,600"
"Mon May 05 2025 00:00:00 GMT+0530 (India Standard Time)","1340.35","1451.60","1340.35","1395.25","1.42","0.78","61,189"
"Mon May 12 2025 00:00:00 GMT+0530 (India Standard Time)","1385.00","1462.20","1360.00","1447.30","3.73","3.08","53,709"
"Mon May 19 2025 00:00:00 GMT+0530 (India Standard Time)","1458.95","1471.05","1410.00","1418.60","-1.98","-2.63","32,937"
"Mon May 26 2025 00:00:00 GMT+0530 (India Standard Time)","1375.15","1465.80","1372.00","1457.75","2.76","2.11","652,220"
"Mon Jun 02 2025 00:00:00 GMT+0530 (India Standard Time)","1450.50","1597.90","1448.50","1590.00","9.07","8.43","226,138"
"Mon Jun 09 2025 00:00:00 GMT+0530 (India Standard Time)","1597.00","1673.75","1589.80","1669.70","5.01","4.37","94,182"
"Mon Jun 16 2025 00:00:00 GMT+0530 (India Standard Time)","1690.95","1690.95","1623.85","1636.95","-1.96","-2.61","47,125"
"Mon Jun 23 2025 00:00:00 GMT+0530 (India Standard Time)","1612.30","1744.35","1612.30","1712.80","4.63","3.99","119,208"
"Mon Jun 30 2025 00:00:00 GMT+0530 (India Standard Time)","1710.70","1840.00","1710.70","1831.50","6.93","6.28","69,944"
"Mon Jul 07 2025 00:00:00 GMT+0530 (India Standard Time)","1831.70","2286.15","1793.50","2181.55","19.11","18.47","1,011,740"
"Mon Jul 14 2025 00:00:00 GMT+0530 (India Standard Time)","2164.85","2266.45","2136.55","2223.05","1.90","1.26","479,347"
"Mon Jul 21 2025 00:00:00 GMT+0530 (India Standard Time)","2223.30","2237.85","2126.75","2144.35","-3.54","-4.19","105,571"
"Mon Jul 28 2025 00:00:00 GMT+0530 (India Standard Time)","2164.30","2177.50","2053.25","2066.95","-3.61","-4.26","148,979"
"Mon Aug 04 2025 00:00:00 GMT+0530 (India Standard Time)","2063.00","2097.50","2005.60","2018.40","-2.35","-3.00","95,739"
"Mon Aug 11 2025 00:00:00 GMT+0530 (India Standard Time)","2025.00","2072.35","2012.10","2043.95","1.27","0.62","61,144"
"Mon Aug 18 2025 00:00:00 GMT+0530 (India Standard Time)","1999.15","2041.50","1998.05","2016.45","-1.35","-1.99","18,032"
