"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"Mon Jul 19 2021 00:00:00 GMT+0530 (India Standard Time)","680.00","690.60","645.35","649.85","-5.41","-6.06","424,428"
"Mon Jul 26 2021 00:00:00 GMT+0530 (India Standard Time)","649.90","650.00","582.00","607.60","-6.50","-7.15","952,854"
"Mon Aug 02 2021 00:00:00 GMT+0530 (India Standard Time)","617.00","618.00","583.55","596.65","-1.80","-2.45","586,055"
"Mon Aug 09 2021 00:00:00 GMT+0530 (India Standard Time)","597.40","597.65","560.20","563.20","-5.61","-6.25","497,928"
"Mon Aug 16 2021 00:00:00 GMT+0530 (India Standard Time)","567.25","583.00","535.00","540.00","-4.12","-4.77","549,814"
"Mon Aug 23 2021 00:00:00 GMT+0530 (India Standard Time)","543.05","547.95","511.25","516.75","-4.31","-4.95","522,528"
"Mon Aug 30 2021 00:00:00 GMT+0530 (India Standard Time)","515.95","543.25","514.65","533.40","3.22","2.58","542,105"
"Mon Sep 06 2021 00:00:00 GMT+0530 (India Standard Time)","535.00","539.00","518.40","524.60","-1.65","-2.30","238,135"
"Mon Sep 13 2021 00:00:00 GMT+0530 (India Standard Time)","526.70","539.65","517.10","519.25","-1.02","-1.67","383,865"
"Mon Sep 20 2021 00:00:00 GMT+0530 (India Standard Time)","518.30","518.50","489.10","507.65","-2.23","-2.88","505,864"
"Mon Sep 27 2021 00:00:00 GMT+0530 (India Standard Time)","507.40","518.15","491.45","513.00","1.05","0.41","467,316"
"Mon Oct 04 2021 00:00:00 GMT+0530 (India Standard Time)","513.00","529.30","503.40","526.80","2.69","2.04","445,248"
"Mon Oct 11 2021 00:00:00 GMT+0530 (India Standard Time)","528.25","538.80","523.10","524.75","-0.39","-1.04","390,439"
"Mon Oct 18 2021 00:00:00 GMT+0530 (India Standard Time)","529.90","529.90","488.75","493.00","-6.05","-6.70","359,038"
"Mon Oct 25 2021 00:00:00 GMT+0530 (India Standard Time)","498.40","517.25","477.35","504.10","2.25","1.61","357,449"
"Mon Nov 01 2021 00:00:00 GMT+0530 (India Standard Time)","504.10","524.80","502.10","523.05","3.76","3.11","235,861"
"Mon Nov 08 2021 00:00:00 GMT+0530 (India Standard Time)","523.05","532.00","512.90","523.65","0.11","-0.53","335,640"
"Mon Nov 15 2021 00:00:00 GMT+0530 (India Standard Time)","523.00","543.30","481.00","482.90","-7.78","-8.43","446,892"
